# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
42; 00042-pano.jpg; 1720147130.746409; -5.022567; -0.334561; 1.110013; 0.932814; -0.017135; 0.007499; 0.359871
43; 00043-pano.jpg; 1720147136.060161; -6.260471; 3.342471; 1.059160; 0.532244; 0.005455; -0.015855; 0.846425
44; 00044-pano.jpg; 1720147141.109039; -8.203094; 6.783222; 1.020000; 0.524930; 0.025033; -0.027719; 0.850325
45; 00045-pano.jpg; 1720147145.618894; -9.876132; 9.670652; 1.013948; 0.405438; 0.025324; -0.014126; 0.913663
46; 00046-pano.jpg; 1720147150.187659; -12.933587; 9.365564; 1.044356; -0.272925; 0.024613; 0.009036; 0.961678
47; 00047-pano.jpg; 1720147154.743529; -13.765842; 6.523477; 1.031577; 0.861294; -0.007559; -0.009269; -0.507967
48; 00048-pano.jpg; 1720147159.546420; -12.415394; 3.191161; 1.111060; 0.857142; -0.006199; -0.016773; -0.514769
49; 00049-pano.jpg; 1720147164.393281; -11.435289; -0.264216; 1.163958; 0.726962; -0.015223; -0.001030; -0.686508
50; 00050-pano.jpg; 1720147168.959030; -10.941402; -3.706962; 1.203040; 0.836002; -0.015273; -0.017533; -0.548233
51; 00051-pano.jpg; 1720147173.731912; -9.518139; -6.807628; 1.244402; 0.888436; 0.008170; -0.014206; -0.458708
52; 00052-pano.jpg; 1720147178.710713; -7.029218; -9.358269; 1.264163; 0.914276; -0.012540; -0.001510; -0.404895
53; 00053-pano.jpg; 1720147184.365549; -3.719754; -11.483803; 1.265752; 0.875187; -0.000680; -0.022033; -0.483282
54; 00054-pano.jpg; 1720147188.937580; -3.019760; -14.578702; 1.288825; 0.774717; -0.016656; 0.007491; -0.632044
55; 00055-pano.jpg; 1720147193.579179; -4.364029; -17.721751; 1.276097; 0.591056; -0.030376; 0.003094; -0.806052
56; 00056-pano.jpg; 1720147198.600101; -3.392528; -21.215744; 1.270235; 0.922026; -0.011186; -0.004034; -0.386945
57; 00057-pano.jpg; 1720147203.124915; -0.267370; -21.876769; 1.262208; 0.982668; -0.007891; -0.005324; -0.185129
58; 00058-pano.jpg; 1720147207.640726; 1.849815; -23.990049; 1.232973; 0.866819; -0.010422; 0.009923; -0.498416
59; 00059-pano.jpg; 1720147212.330552; 2.590812; -27.183291; 1.249162; 0.701161; -0.020577; -0.008541; -0.712655
60; 00060-pano.jpg; 1720147217.147409; 1.611257; -30.426031; 1.228004; -0.142221; 0.016930; 0.000242; 0.989690
61; 00061-pano.jpg; 1720147221.595276; -1.626250; -30.769677; 1.246077; -0.018268; 0.023890; -0.003735; 0.999541
62; 00062-pano.jpg; 1720147226.571060; -4.549910; -30.114286; 1.253130; 0.417953; 0.009581; 0.000862; 0.908418
63; 00063-pano.jpg; 1720147230.982894; -6.284963; -27.533623; 1.224065; 0.730805; 0.009777; -0.015355; 0.682343
64; 00064-pano.jpg; 1720147235.601820; -5.829243; -24.351965; 1.217147; 0.912416; 0.017770; -0.014819; 0.408611
65; 00065-pano.jpg; 1720147239.653003; -4.300379; -22.565476; 1.261484; 0.976769; -0.006182; -0.028534; 0.212296
66; 00066-pano.jpg; 1720147247.522362; -5.654836; -19.720735; 1.259267; 0.164885; 0.015544; -0.020884; 0.985969
67; 00067-pano.jpg; 1720147252.051754; -9.219261; -19.133020; 1.212767; 0.276879; 0.006307; 0.001526; 0.960883
68; 00068-pano.jpg; 1720147256.864109; -11.482582; -17.238174; 1.261873; 0.484484; -0.007251; -0.017076; 0.874603
69; 00069-pano.jpg; 1720147261.149884; -11.911252; -14.098390; 1.257745; 0.650602; 0.001198; -0.034480; 0.758635
70; 00070-pano.jpg; 1720147265.782760; -11.608486; -10.640344; 1.269593; 0.607155; 0.021413; -0.014284; 0.794166
71; 00071-pano.jpg; 1720147270.133603; -12.363653; -7.461924; 1.272353; 0.529165; 0.022769; -0.006819; 0.848186
72; 00072-pano.jpg; 1720147274.569403; -14.177266; -4.580991; 1.222981; 0.307436; 0.026868; -0.006811; 0.951165
73; 00073-pano.jpg; 1720147278.914279; -16.971705; -2.615091; 1.196680; 0.164567; 0.051879; -0.024355; 0.984699
74; 00074-pano.jpg; 1720147283.364173; -20.169573; -1.323265; 1.244404; -0.211239; 0.022377; -0.004733; 0.977167
75; 00075-pano.jpg; 1720147288.456978; -23.655184; -3.040119; 1.229174; -0.222035; 0.022148; -0.003389; 0.974781
76; 00076-pano.jpg; 1720147292.920816; -26.644188; -4.423659; 1.228962; -0.175810; 0.021434; -0.000120; 0.984191
77; 00077-pano.jpg; 1720147297.554669; -29.605503; -5.880247; 1.234885; -0.217437; 0.028576; 0.014215; 0.975552
78; 00078-pano.jpg; 1720147302.260536; -32.548121; -7.290949; 1.234201; -0.297714; 0.020861; -0.001200; 0.954426
79; 00079-pano.jpg; 1720147307.817343; -35.471704; -8.976169; 1.244213; -0.193953; 0.003608; -0.002419; 0.981001
80; 00080-pano.jpg; 1720147312.618118; -38.563667; -10.353307; 1.247856; -0.225574; 0.006949; -0.004098; 0.974193
81; 00081-pano.jpg; 1720147317.145025; -41.515576; -11.735901; 1.236847; -0.206715; 0.025060; 0.002690; 0.978076
82; 00082-pano.jpg; 1720147321.954819; -44.316044; -12.993603; 1.244559; -0.212014; 0.024248; -0.005117; 0.976952
83; 00083-pano.jpg; 1720147326.664691; -46.919318; -14.997917; 1.204850; 0.682831; 0.002329; -0.005180; -0.730554
84; 00084-pano.jpg; 1720147331.020499; -47.728818; -18.361846; 1.181880; 0.840070; -0.011104; 0.001050; -0.542363
85; 00085-pano.jpg; 1720147335.653360; -46.500806; -21.510574; 1.160576; 0.912855; -0.022389; -0.013197; -0.407455
86; 00086-pano.jpg; 1720147340.215166; -43.777718; -22.813788; 1.235801; 0.997832; 0.007664; -0.009293; -0.064705
87; 00087-pano.jpg; 1720147345.261049; -40.946878; -24.155316; 1.279593; 0.830773; -0.012434; -0.014368; -0.556288
88; 00088-pano.jpg; 1720147350.692848; -39.327086; -27.441889; 1.251302; 0.857834; -0.013281; -0.023662; -0.513211
89; 00089-pano.jpg; 1720147355.431679; -37.947706; -30.485818; 1.242641; 0.864874; -0.005041; 0.006573; -0.501921
90; 00090-pano.jpg; 1720147359.875499; -36.526635; -33.428462; 1.235966; 0.863716; -0.009687; -0.020579; -0.503465
91; 00091-pano.jpg; 1720147364.674344; -35.001712; -36.583992; 1.239058; 0.852720; -0.003506; -0.008611; -0.522285
92; 00092-pano.jpg; 1720147369.242195; -35.252143; -40.048753; 1.201470; 0.646116; -0.012738; -0.008261; -0.763088
93; 00093-pano.jpg; 1720147373.826039; -34.814955; -43.494015; 1.225361; 0.846681; 0.002099; -0.006884; -0.532051
94; 00094-pano.jpg; 1720147379.266890; -32.411756; -45.616653; 1.265483; 0.993858; 0.001414; 0.000334; 0.110651
95; 00095-pano.jpg; 1720147382.631723; -30.948846; -45.152351; 1.274092; 0.974634; 0.003022; -0.009134; 0.223597
96; 00096-pano.jpg; 1720147385.938631; -30.253254; -46.615997; 1.278038; 0.836475; -0.014775; -0.004946; -0.547784
97; 00097-pano.jpg; 1720147390.307523; -27.566233; -47.280844; 1.169375; 0.972862; 0.002835; -0.039433; 0.227982
98; 00098-pano.jpg; 1720147394.177362; -25.692194; -45.774115; 1.232423; 0.978077; 0.005709; 0.001779; 0.208157
99; 00099-pano.jpg; 1720147397.377206; -23.889259; -44.977474; 1.249250; 0.967743; 0.000601; -0.009072; 0.251777
100; 00100-pano.jpg; 1720147401.072114; -21.671911; -43.897613; 1.246597; 0.972946; -0.002269; -0.019215; 0.230221
101; 00101-pano.jpg; 1720147404.655982; -19.541930; -42.882060; 1.245759; 0.975709; -0.002517; 0.005125; 0.218997
102; 00102-pano.jpg; 1720147408.560858; -17.236702; -42.155432; 1.257939; 0.946331; 0.008997; 0.012576; 0.322829
103; 00103-pano.jpg; 1720147412.661715; -14.959989; -40.951988; 1.231328; 0.967307; -0.017005; -0.032422; 0.250954
104; 00104-pano.jpg; 1720147416.648587; -12.500242; -40.047461; 1.225120; 0.962636; -0.001242; 0.001276; 0.270794
